Sütun1,Sütun2,Sütun3,Sütun4,Sütun5,Sütun6
,,,,,
2023,İstanbul,15.655.924,7.806.787,7.849.137,"% 18,34"
2023,Ankara,5.803.482,2.860.361,2.943.121,"% 6,80"
2023,İzmir,4.479.525,2.221.180,2.258.345,"% 5,25"
2023,Bursa,3.214.571,1.605.941,1.608.630,"% 3,77"
2023,Antalya,2.696.249,1.357.198,1.339.051,"% 3,16"
2023,Konya,2.320.241,1.152.384,1.167.857,"% 2,72"
2023,Adana,2.270.298,1.135.046,1.135.252,"% 2,66"
2023,Şanlıurfa,2.213.964,1.116.834,1.097.130,"% 2,59"
2023,Gaziantep,2.164.134,1.091.830,1.072.304,"% 2,53"
2023,Kocaeli,2.102.907,1.061.291,1.041.616,"% 2,46"
2023,Mersin,1.938.389,969.526,968.863,"% 2,27"
2023,Diyarbakır,1.818.133,918.980,899.153,"% 2,13"
2023,Hatay,1.544.640,782.303,762.337,"% 1,81"
2023,Manisa,1.475.716,741.274,734.442,"% 1,73"
2023,Kayseri,1.445.683,722.569,723.114,"% 1,69"
2023,Samsun,1.377.546,681.565,695.981,"% 1,61"
2023,Balıkesir,1.273.519,634.259,639.260,"% 1,49"
2023,Tekirdağ,1.167.059,595.133,571.926,"% 1,37"
2023,Aydın,1.161.702,576.262,585.440,"% 1,36"
2023,Van,1.127.612,574.993,552.619,"% 1,32"
2023,Kahramanmaraş,1.116.618,568.064,548.554,"% 1,31"
2023,Sakarya,1.098.115,550.484,547.631,"% 1,29"
2023,Muğla,1.066.736,541.870,524.866,"% 1,25"
2023,Denizli,1.059.082,526.717,532.365,"% 1,24"
2023,Eskişehir,915.418,454.606,460.812,"% 1,07"
2023,Mardin,888.874,446.320,442.554,"% 1,04"
2023,Trabzon,824.352,409.040,415.312,"% 0,97"
2023,Ordu,775.800,386.605,389.195,"% 0,91"
2023,Afyonkarahisar,751.344,374.705,376.639,"% 0,88"
2023,Erzurum,749.993,372.622,377.371,"% 0,88"
2023,Malatya,742.725,373.688,369.037,"% 0,87"
2023,Sivas,650.401,325.125,325.276,"% 0,76"
2023,Batman,647.205,327.361,319.844,"% 0,76"
2023,Tokat,606.934,301.234,305.700,"% 0,71"
2023,Adıyaman,604.978,306.779,298.199,"% 0,71"
2023,Elazığ,604.411,298.845,305.566,"% 0,71"
2023,Zonguldak,591.492,294.001,297.491,"% 0,69"
2023,Kütahya,575.674,284.542,291.132,"% 0,67"
2023,Şırnak,570.745,299.177,271.568,"% 0,67"
2023,Çanakkale,570.499,285.346,285.153,"% 0,67"
2023,Osmaniye,557.666,280.450,277.216,"% 0,65"
2023,Çorum,528.351,261.950,266.401,"% 0,62"
2023,Ağrı,511.238,265.585,245.653,"% 0,60"
2023,Giresun,461.712,230.728,230.984,"% 0,54"
2023,Isparta,449.777,222.515,227.262,"% 0,53"
2023,Aksaray,438.504,219.006,219.498,"% 0,51"
2023,Yozgat,420.699,210.051,210.648,"% 0,49"
2023,Edirne,419.913,210.653,209.260,"% 0,49"
2023,Düzce,409.865,204.734,205.131,"% 0,48"
2023,Muş,399.879,203.272,196.607,"% 0,47"
2023,Kastamonu,388.990,192.048,196.942,"% 0,46"
2023,Kırklareli,377.156,190.769,186.387,"% 0,44"
2023,Niğde,377.080,188.774,188.306,"% 0,44"
2023,Uşak,377.001,187.253,189.748,"% 0,44"
2023,Bitlis,359.747,186.038,173.709,"% 0,42"
2023,Rize,350.506,175.231,175.275,"% 0,41"
2023,Siirt,347.412,180.736,166.676,"% 0,41"
2023,Amasya,339.529,168.290,171.239,"% 0,40"
2023,Bolu,324.789,161.319,163.470,"% 0,38"
2023,Nevşehir,315.994,155.897,160.097,"% 0,37"
2023,Yalova,304.780,152.100,152.680,"% 0,36"
2023,Hakkari,287.625,154.235,133.390,"% 0,34"
2023,Kırıkkale,285.744,142.651,143.093,"% 0,33"
2023,Bingöl,285.655,144.014,141.641,"% 0,33"
2023,Kars,278.335,144.024,134.311,"% 0,33"
2023,Burdur,277.452,138.441,139.011,"% 0,32"
2023,Karaman,263.960,131.571,132.389,"% 0,31"
2023,Karabük,255.242,128.370,126.872,"% 0,30"
2023,Kırşehir,247.179,122.754,124.425,"% 0,29"
2023,Erzincan,243.399,124.244,119.155,"% 0,29"
2023,Sinop,229.716,114.183,115.533,"% 0,27"
2023,Bilecik,228.058,115.418,112.640,"% 0,27"
2023,Iğdır,209.738,109.710,100.028,"% 0,25"
2023,Bartın,207.238,103.087,104.151,"% 0,24"
2023,Çankırı,205.501,103.037,102.464,"% 0,24"
2023,Artvin,172.356,86.355,86.001,"% 0,20"
2023,Kilis,155.179,78.198,76.981,"% 0,18"
2023,Gümüşhane,148.539,74.581,73.958,"% 0,17"
2023,Ardahan,92.819,48.239,44.580,"% 0,11"
2023,Tunceli,89.317,47.110,42.207,"% 0,10"
2023,Bayburt,86.047,43.603,42.444,"% 0,10"
